complaint_id,complaint_text,area,type,filing_date,department,predicted_priority,status,area_eta,type_eta,resolved_days,resolution_date,predicted_priority_eta,rating,feedback_text,resolution_status,actual_cost,resolved_on,predicted_cost,actual_cost_anomaly,variance_flag,type_anomaly,area_anomaly
C1412,"Stray dogs causing fear near Lane 25 in Koregaon Park, especially for kids.",Koregaon Park,Animal Nuisance,2025-03-10,Sewage Problem,Low,Pending,Nanded,Tree Fall,4,2024-11-01,Low,3,Average service.,Completed,8026,2024-03-08,7821,8026,No,Animal Nuisance,Koregaon Park
C1413,"Sewage overflow issue near Lane 50 in Viman Nagar, foul smell and waterlogging.",Viman Nagar,Sewage Problem,2025-01-11,Sewage Problem,Low,Pending,Pashan,Road Damage,9,2024-07-24,Low,4,"Resolved quickly, thanks!",Completed,1121,2024-07-17,940,1121,No,Sewage Problem,Viman Nagar
C1414,"Stray dogs causing fear near Lane 18 in Dhankawadi, especially for kids.",Dhankawadi,Animal Nuisance,2025-02-07,Noise Pollution,Medium,Pending,Dhanori,Noise Pollution,8,2024-12-10,Medium,5,"Great service, very happy.",Completed,9031,2024-01-03,9448,9031,Yes,Animal Nuisance,Dhankawadi
C1415,"Sewage overflow issue near Lane 63 in Pimpri, foul smell and waterlogging.",Pimpri,Sewage Problem,2025-02-13,Water Issue,Low,In Progress,Hadapsar,Tree Fall,10,2024-05-09,Low,3,Neutral experience.,Completed,5119,2025-03-07,5190,5119,No,Sewage Problem,Pimpri
C1416,"Unauthorized parking near Lane 9 in Pimpri, causing congestion.",Pimpri,Illegal Parking,2025-02-04,Garbage Issue,Low,Pending,Kharadi,Drainage Problem,4,2024-01-30,Low,3,Neutral experience.,Completed,8350,2024-09-11,8681,8350,Yes,Illegal Parking,Pimpri
C1417,"Unauthorized parking near Lane 26 in Bibwewadi, causing congestion.",Bibwewadi,Illegal Parking,2025-01-20,Tree Falling,Medium,In Progress,Hadapsar,Street Light,14,2024-06-08,Medium,4,"Great service, very happy.",Completed,9856,2024-04-27,9704,9856,No,Illegal Parking,Bibwewadi
C1418,"High noise levels from activities near Lane 47 in Pimpri, disturbing peace.",Pimpri,Noise Pollution,2025-02-27,Road Damage,Medium,Pending,Nigdi,Water Leakage,1,2024-01-21,Medium,5,Issue handled professionally.,Completed,2431,2024-05-30,2770,2431,Yes,Noise Pollution,Pimpri
C1419,"Uncollected garbage near Lane 43 in Aundh, causing health concerns.",Aundh,Garbage Issue,2025-03-13,Sewage Problem,Medium,Pending,Aundh,Tree Fall,17,2024-04-08,Medium,5,"Great service, very happy.",Completed,2525,2024-03-03,2803,2525,No,Garbage Issue,Aundh
C1420,"Sewage overflow issue near Lane 48 in Parvati, foul smell and waterlogging.",Parvati,Sewage Problem,2025-02-03,Water Issue,Low,Pending,Hadapsar,Road Damage,7,2024-11-09,Low,3,Average service.,Escalated,0,,372,0,Yes,Sewage Problem,Parvati
C1421,"Stray dogs causing fear near Lane 5 in Kondhwa, especially for kids.",Kondhwa,Animal Nuisance,2025-02-13,Sewage Problem,High,Resolved,Lohegaon,Noise Pollution,3,2024-02-28,High,4,"Resolved quickly, thanks!",In Progress,0,,-272,0,No,Animal Nuisance,Kondhwa
C1422,"High noise levels from activities near Lane 53 in Bavdhan, disturbing peace.",Bavdhan,Noise Pollution,2025-01-03,Streetlight Issue,High,Resolved,Kondhwa,Noise Pollution,2,2024-12-02,High,5,Very satisfied with the resolution.,Completed,5485,2024-10-23,5254,5485,No,Noise Pollution,Bavdhan
C1423,"Damaged road with potholes near Lane 52 in Warje, dangerous for vehicles.",Warje,Road Damage,2025-02-07,Electricity Issue,High,Resolved,Dhanori,Drainage Problem,20,2024-06-12,High,4,Appreciate the fast response.,Rejected,0,,327,0,Yes,Road Damage,Warje
C1424,"High noise levels from activities near Lane 51 in Shivajinagar, disturbing peace.",Shivajinagar,Noise Pollution,2025-04-05,Noise Pollution,Low,In Progress,Nigdi,Animal Nuisance,19,2024-08-11,Low,1,Not satisfied with the service.,Completed,5580,2024-06-26,5877,5580,No,Noise Pollution,Shivajinagar
C1425,"Tree fallen near Lane 18 in Wagholi, blocking road and footpath.",Wagholi,Tree Falling,2025-03-04,Animal Nuisance,High,In Progress,Nigdi,Sewage Overflow,9,2024-11-04,High,4,Very satisfied with the resolution.,Completed,5685,2025-03-23,5475,5685,No,Tree Falling,Wagholi
C1426,"High noise levels from activities near Lane 26 in Wanowrie, disturbing peace.",Wanowrie,Noise Pollution,2025-01-14,Streetlight Issue,Medium,In Progress,Pashan,Sewage Overflow,10,2024-08-16,Medium,5,Issue handled professionally.,Completed,9144,2024-04-12,9368,9144,No,Noise Pollution,Wanowrie
C1427,"Streetlights not working near Lane 36 in Camp, causing night-time hazards.",Camp,Streetlight Issue,2025-01-23,Noise Pollution,High,Pending,Balewadi,Noise Pollution,10,2024-12-10,High,1,Had to follow up multiple times.,Completed,2951,2024-09-27,2615,2951,Yes,Streetlight Issue,Camp
C1428,"Uncollected garbage near Lane 67 in Kharadi, causing health concerns.",Kharadi,Garbage Issue,2025-03-20,Tree Falling,High,Pending,Erandwane,Street Light,3,2024-12-04,High,2,Average service.,Completed,6892,2024-11-03,6396,6892,Yes,Garbage Issue,Kharadi
C1429,"Damaged road with potholes near Lane 27 in Kharadi, dangerous for vehicles.",Kharadi,Road Damage,2025-01-15,Sewage Problem,High,Resolved,Pimpri,Sewage Overflow,1,2024-09-14,High,4,"Great service, very happy.",Completed,9708,2024-06-21,10058,9708,Yes,Road Damage,Kharadi
C1430,"Water leakage from pipeline near Lane 43 in Sinhagad Road, needs urgent attention.",Sinhagad Road,Water Issue,2025-04-05,Tree Falling,High,In Progress,Pashan,Garbage Issue,20,2024-09-17,High,5,Appreciate the fast response.,Rejected,0,,-122,0,No,Water Issue,Sinhagad Road
C1431,"Stray dogs causing fear near Lane 29 in Swargate, especially for kids.",Swargate,Animal Nuisance,2025-04-03,Animal Nuisance,Medium,Resolved,Talegaon,Tree Fall,1,2024-10-05,Medium,2,Took some time but resolved.,Completed,8107,2024-03-02,7684,8107,Yes,Animal Nuisance,Swargate
C1432,"Stray dogs causing fear near Lane 38 in Deccan, especially for kids.",Deccan,Animal Nuisance,2025-03-23,Electricity Issue,Medium,In Progress,Vishrantwadi,Road Damage,9,2024-02-27,Medium,5,"Great service, very happy.",In Progress,0,,-91,0,No,Animal Nuisance,Deccan
C1433,"High noise levels from activities near Lane 17 in Hadapsar, disturbing peace.",Hadapsar,Noise Pollution,2025-02-16,Electricity Issue,High,In Progress,Balewadi,Animal Nuisance,3,2024-12-17,High,4,Very satisfied with the resolution.,Escalated,0,,73,0,No,Noise Pollution,Hadapsar
C1434,"Tree fallen near Lane 6 in Parvati, blocking road and footpath.",Parvati,Tree Falling,2025-02-07,Noise Pollution,Low,Pending,Shivajinagar,Street Light,16,2024-12-26,Low,4,"Resolved quickly, thanks!",Rejected,0,,-369,0,Yes,Tree Falling,Parvati
C1435,"Frequent power cuts near Lane 65 in Hadapsar, needs investigation.",Hadapsar,Electricity Issue,2025-01-18,Streetlight Issue,Low,Resolved,Shivajinagar,Noise Pollution,9,2024-06-13,Low,5,"Resolved quickly, thanks!",Completed,880,2024-08-18,980,880,No,Electricity Issue,Hadapsar
C1436,"High noise levels from activities near Lane 28 in Shivajinagar, disturbing peace.",Shivajinagar,Noise Pollution,2025-04-10,Illegal Parking,Medium,Pending,Vishrantwadi,Drainage Problem,10,2024-02-29,Medium,3,"Not bad, not great.",Completed,6896,2024-07-12,7144,6896,No,Noise Pollution,Shivajinagar
C1437,"Water leakage from pipeline near Lane 47 in Model Colony, needs urgent attention.",Model Colony,Water Issue,2025-04-03,Water Issue,Low,Resolved,Dhanori,Garbage Issue,3,2024-12-12,Low,3,Took some time but resolved.,Completed,6883,2024-11-17,6424,6883,Yes,Water Issue,Model Colony
C1438,"Stray dogs causing fear near Lane 57 in Kondhwa, especially for kids.",Kondhwa,Animal Nuisance,2025-02-22,Road Damage,Low,Pending,Camp,Sewage Overflow,14,2024-04-24,Low,2,Took some time but resolved.,Rejected,0,,-412,0,Yes,Animal Nuisance,Kondhwa
C1439,"Frequent power cuts near Lane 6 in NIBM Road, needs investigation.",NIBM Road,Electricity Issue,2025-03-15,Water Issue,Medium,Resolved,Parvati,Road Damage,6,2024-04-06,Medium,2,Took some time but resolved.,Completed,8631,2024-01-22,8532,8631,No,Electricity Issue,NIBM Road
C1440,"Stray dogs causing fear near Lane 14 in Kondhwa, especially for kids.",Kondhwa,Animal Nuisance,2025-03-07,Streetlight Issue,Low,Resolved,Parvati,Street Light,8,2024-07-03,Low,2,Neutral experience.,Completed,3855,2024-11-29,3650,3855,No,Animal Nuisance,Kondhwa
C1441,"High noise levels from activities near Lane 60 in Thergaon, disturbing peace.",Thergaon,Noise Pollution,2025-02-23,Road Damage,High,In Progress,Lohegaon,Tree Fall,11,2024-03-01,High,1,Very poor response.,Completed,9147,2024-12-09,9486,9147,Yes,Noise Pollution,Thergaon
C1442,"Frequent power cuts near Lane 42 in Bibwewadi, needs investigation.",Bibwewadi,Electricity Issue,2025-02-01,Garbage Issue,High,Resolved,Talegaon,Tree Fall,14,2024-11-17,High,4,Very satisfied with the resolution.,Completed,9895,2024-05-01,9689,9895,No,Electricity Issue,Bibwewadi
C1443,"Unauthorized parking near Lane 65 in Kharadi, causing congestion.",Kharadi,Illegal Parking,2025-01-26,Tree Falling,Medium,Resolved,Bavdhan,Street Light,7,2024-01-27,Medium,4,Very satisfied with the resolution.,In Progress,0,,115,0,No,Illegal Parking,Kharadi
C1444,"Stray dogs causing fear near Lane 15 in Thergaon, especially for kids.",Thergaon,Animal Nuisance,2025-02-03,Sewage Problem,High,In Progress,Dhanori,Water Leakage,20,2024-10-09,High,5,Appreciate the fast response.,Rejected,0,,25,0,No,Animal Nuisance,Thergaon
C1445,"Tree fallen near Lane 2 in NIBM Road, blocking road and footpath.",NIBM Road,Tree Falling,2025-01-20,Illegal Parking,High,In Progress,Kothrud,Noise Pollution,4,2024-05-02,High,4,"Great service, very happy.",Completed,9538,2025-01-28,9837,9538,No,Tree Falling,NIBM Road
C1446,"Water leakage from pipeline near Lane 70 in Model Colony, needs urgent attention.",Model Colony,Water Issue,2025-01-08,Animal Nuisance,Low,Pending,Talegaon,Water Leakage,18,2024-02-20,Low,5,Issue handled professionally.,Completed,8400,2024-10-07,8590,8400,No,Water Issue,Model Colony
C1447,"Stray dogs causing fear near Lane 40 in Aundh, especially for kids.",Aundh,Animal Nuisance,2025-04-02,Noise Pollution,Medium,In Progress,Talegaon,Drainage Problem,4,2024-10-25,Medium,5,"Resolved quickly, thanks!",Rejected,0,,136,0,No,Animal Nuisance,Aundh
C1448,"Stray dogs causing fear near Lane 24 in Warje, especially for kids.",Warje,Animal Nuisance,2025-02-08,Sewage Problem,High,Resolved,Nanded,Road Damage,8,2024-07-11,High,4,Very satisfied with the resolution.,Rejected,0,,-79,0,No,Animal Nuisance,Warje
C1449,"Water leakage from pipeline near Lane 5 in Model Colony, needs urgent attention.",Model Colony,Water Issue,2025-04-11,Illegal Parking,Low,In Progress,Chinchwad,Tree Fall,6,2024-03-03,Low,2,Took some time but resolved.,Completed,780,2024-10-04,1144,780,Yes,Water Issue,Model Colony
C1450,"Tree fallen near Lane 46 in Kothrud, blocking road and footpath.",Kothrud,Tree Falling,2025-01-10,Streetlight Issue,High,Pending,Pimpri,Illegal Construction,6,2024-01-12,High,2,Average service.,Completed,9810,2025-01-16,9332,9810,Yes,Tree Falling,Kothrud
C1451,"High noise levels from activities near Lane 25 in Sinhagad Road, disturbing peace.",Sinhagad Road,Noise Pollution,2025-01-15,Illegal Parking,Low,Resolved,Wakad,Animal Nuisance,10,2024-02-03,Low,5,"Resolved quickly, thanks!",Completed,2937,2024-10-14,3011,2937,No,Noise Pollution,Sinhagad Road
C1452,"Damaged road with potholes near Lane 63 in Nigdi, dangerous for vehicles.",Nigdi,Road Damage,2025-04-11,Garbage Issue,Medium,In Progress,Chinchwad,Road Damage,16,2024-09-05,Medium,2,It was okay.,Completed,9398,2024-06-26,9040,9398,Yes,Road Damage,Nigdi
C1453,"Unauthorized parking near Lane 42 in Sinhagad Road, causing congestion.",Sinhagad Road,Illegal Parking,2025-03-26,Animal Nuisance,High,In Progress,Balewadi,Sewage Overflow,8,2024-10-14,High,5,Issue handled professionally.,Completed,2913,2024-04-18,3405,2913,Yes,Illegal Parking,Sinhagad Road
C1454,"Uncollected garbage near Lane 35 in Dhanori, causing health concerns.",Dhanori,Garbage Issue,2025-03-14,Road Damage,Low,In Progress,Kondhwa,Road Damage,19,2024-06-04,Low,5,Very satisfied with the resolution.,Completed,4989,2024-10-11,5153,4989,No,Garbage Issue,Dhanori
C1455,"Tree fallen near Lane 33 in Thergaon, blocking road and footpath.",Thergaon,Tree Falling,2025-02-19,Noise Pollution,Low,Pending,Fursungi,Water Leakage,16,2024-06-24,Low,2,"Not bad, not great.",Completed,9052,2024-12-14,8696,9052,Yes,Tree Falling,Thergaon
C1456,"Uncollected garbage near Lane 11 in Erandwane, causing health concerns.",Erandwane,Garbage Issue,2025-01-19,Sewage Problem,Medium,Pending,Karvenagar,Noise Pollution,3,2024-02-13,Medium,4,Appreciate the fast response.,Completed,4931,2024-12-20,4655,4931,No,Garbage Issue,Erandwane
C1457,"Streetlights not working near Lane 62 in Nigdi, causing night-time hazards.",Nigdi,Streetlight Issue,2025-01-09,Sewage Problem,Medium,In Progress,Baner,Sewage Overflow,15,2024-12-11,Medium,4,Very satisfied with the resolution.,Completed,2145,2024-09-20,2147,2145,No,Streetlight Issue,Nigdi
C1458,"Sewage overflow issue near Lane 49 in Nigdi, foul smell and waterlogging.",Nigdi,Sewage Problem,2025-01-29,Garbage Issue,Medium,Resolved,Sinhagad Road,Illegal Construction,5,2024-08-20,Medium,4,"Great service, very happy.",Completed,3167,2024-10-21,3628,3167,Yes,Sewage Problem,Nigdi
C1459,"Damaged road with potholes near Lane 6 in Viman Nagar, dangerous for vehicles.",Viman Nagar,Road Damage,2025-04-08,Sewage Problem,Low,Pending,Viman Nagar,Road Damage,5,2024-12-14,Low,4,Very satisfied with the resolution.,Completed,1552,2024-05-26,2025,1552,Yes,Road Damage,Viman Nagar
C1460,"Unauthorized parking near Lane 48 in Wagholi, causing congestion.",Wagholi,Illegal Parking,2025-01-19,Road Damage,Medium,Pending,Pashan,Street Light,20,2024-04-04,Medium,5,Very satisfied with the resolution.,In Progress,0,,320,0,Yes,Illegal Parking,Wagholi
C1461,"Streetlights not working near Lane 34 in Wagholi, causing night-time hazards.",Wagholi,Streetlight Issue,2025-02-09,Noise Pollution,Low,In Progress,Lohegaon,Street Light,12,2024-03-27,Low,2,Neutral experience.,Completed,927,2024-07-17,1042,927,No,Streetlight Issue,Wagholi
C1462,"Streetlights not working near Lane 33 in Wanowrie, causing night-time hazards.",Wanowrie,Streetlight Issue,2025-01-29,Road Damage,High,Resolved,Fursungi,Animal Nuisance,6,2024-05-21,High,4,Issue handled professionally.,Completed,6317,2024-11-28,5920,6317,Yes,Streetlight Issue,Wanowrie
C1463,"High noise levels from activities near Lane 25 in Swargate, disturbing peace.",Swargate,Noise Pollution,2025-01-10,Electricity Issue,High,Resolved,Chinchwad,Illegal Construction,7,2024-12-22,High,2,Took some time but resolved.,Completed,9676,2024-12-07,10122,9676,Yes,Noise Pollution,Swargate
C1464,"Sewage overflow issue near Lane 43 in Bavdhan, foul smell and waterlogging.",Bavdhan,Sewage Problem,2025-02-08,Garbage Issue,Low,Pending,Nanded,Street Light,7,2024-12-24,Low,4,Very satisfied with the resolution.,In Progress,0,,-462,0,Yes,Sewage Problem,Bavdhan
C1465,"High noise levels from activities near Lane 64 in Model Colony, disturbing peace.",Model Colony,Noise Pollution,2025-03-12,Electricity Issue,Medium,In Progress,Dhankawadi,Noise Pollution,19,2024-06-20,Medium,4,Appreciate the fast response.,Escalated,0,,446,0,Yes,Noise Pollution,Model Colony
C1466,"Water leakage from pipeline near Lane 21 in Nigdi, needs urgent attention.",Nigdi,Water Issue,2025-01-08,Tree Falling,Medium,Resolved,Lohegaon,Sewage Overflow,18,2024-02-01,Medium,4,Issue handled professionally.,Completed,5455,2024-06-19,5152,5455,Yes,Water Issue,Nigdi
C1467,"Unauthorized parking near Lane 58 in NIBM Road, causing congestion.",NIBM Road,Illegal Parking,2025-02-12,Road Damage,High,In Progress,Karvenagar,Street Light,7,2024-04-06,High,5,"Great service, very happy.",Completed,5875,2024-02-21,6020,5875,No,Illegal Parking,NIBM Road
C1468,"Water leakage from pipeline near Lane 24 in Thergaon, needs urgent attention.",Thergaon,Water Issue,2025-02-17,Streetlight Issue,Low,Pending,Kharadi,Illegal Construction,8,2024-11-05,Low,2,Took some time but resolved.,Completed,6007,2024-07-27,6085,6007,No,Water Issue,Thergaon
C1469,"Water leakage from pipeline near Lane 3 in Deccan, needs urgent attention.",Deccan,Water Issue,2025-02-02,Electricity Issue,Low,Resolved,Kondhwa,Street Light,15,2024-04-29,Low,5,"Resolved quickly, thanks!",Completed,8754,2024-10-08,8644,8754,No,Water Issue,Deccan
C1470,"Sewage overflow issue near Lane 12 in Dhankawadi, foul smell and waterlogging.",Dhankawadi,Sewage Problem,2025-02-08,Electricity Issue,High,Pending,Camp,Tree Fall,5,2024-12-05,High,4,Issue handled professionally.,Completed,9168,2024-11-26,8846,9168,Yes,Sewage Problem,Dhankawadi
C1471,"Tree fallen near Lane 24 in Thergaon, blocking road and footpath.",Thergaon,Tree Falling,2025-03-22,Noise Pollution,High,Resolved,Pimpri,Illegal Construction,7,2024-03-03,High,3,"Not bad, not great.",In Progress,0,,467,0,Yes,Tree Falling,Thergaon
C1472,"Damaged road with potholes near Lane 40 in Bibwewadi, dangerous for vehicles.",Bibwewadi,Road Damage,2025-03-17,Road Damage,Medium,Pending,Talegaon,Water Leakage,14,2024-07-08,Medium,5,Issue handled professionally.,Completed,897,2024-08-22,950,897,No,Road Damage,Bibwewadi
C1473,"Uncollected garbage near Lane 48 in Warje, causing health concerns.",Warje,Garbage Issue,2025-04-10,Animal Nuisance,High,Pending,Pimpri,Drainage Problem,17,2024-04-13,High,2,"Not bad, not great.",Completed,3449,2024-11-23,3396,3449,No,Garbage Issue,Warje
C1474,"High noise levels from activities near Lane 43 in Parvati, disturbing peace.",Parvati,Noise Pollution,2025-02-16,Streetlight Issue,High,Resolved,Viman Nagar,Noise Pollution,8,2024-03-24,High,3,Took some time but resolved.,Completed,3668,2024-10-08,3667,3668,No,Noise Pollution,Parvati
C1475,"Stray dogs causing fear near Lane 56 in Dhankawadi, especially for kids.",Dhankawadi,Animal Nuisance,2025-03-28,Noise Pollution,Medium,Resolved,Baner,Road Damage,10,2024-03-01,Medium,3,Took some time but resolved.,Completed,7437,2024-06-13,6951,7437,Yes,Animal Nuisance,Dhankawadi
C1476,"Tree fallen near Lane 8 in Koregaon Park, blocking road and footpath.",Koregaon Park,Tree Falling,2025-03-14,Road Damage,Low,Resolved,Talegaon,Noise Pollution,3,2024-05-08,Low,2,"Not bad, not great.",Completed,2686,2024-03-23,2808,2686,No,Tree Falling,Koregaon Park
C1477,"Streetlights not working near Lane 55 in Pashan, causing night-time hazards.",Pashan,Streetlight Issue,2025-02-22,Streetlight Issue,Medium,Resolved,Swargate,Sewage Overflow,15,2024-11-15,Medium,2,Neutral experience.,Escalated,0,,168,0,No,Streetlight Issue,Pashan
C1478,"Tree fallen near Lane 24 in Hadapsar, blocking road and footpath.",Hadapsar,Tree Falling,2025-01-13,Road Damage,Low,In Progress,Balewadi,Animal Nuisance,12,2024-10-26,Low,2,Took some time but resolved.,Completed,2608,2024-10-29,2396,2608,No,Tree Falling,Hadapsar
C1479,"Tree fallen near Lane 64 in Parvati, blocking road and footpath.",Parvati,Tree Falling,2025-01-16,Illegal Parking,Medium,Resolved,Karvenagar,Illegal Construction,10,2024-12-02,Medium,5,Issue handled professionally.,Completed,6114,2024-07-10,6091,6114,No,Tree Falling,Parvati
C1480,"High noise levels from activities near Lane 40 in Dhankawadi, disturbing peace.",Dhankawadi,Noise Pollution,2025-04-05,Road Damage,Medium,Resolved,Aundh,Street Light,8,2024-04-29,Medium,4,Issue handled professionally.,Completed,6758,2024-12-10,6488,6758,No,Noise Pollution,Dhankawadi
C1481,"Frequent power cuts near Lane 21 in Deccan, needs investigation.",Deccan,Electricity Issue,2025-01-24,Animal Nuisance,Medium,Pending,Kondhwa,Street Light,20,2024-12-01,Medium,5,Very satisfied with the resolution.,Escalated,0,,422,0,Yes,Electricity Issue,Deccan
C1482,"Tree fallen near Lane 46 in Dhankawadi, blocking road and footpath.",Dhankawadi,Tree Falling,2025-03-22,Illegal Parking,Low,Pending,Talegaon,Drainage Problem,10,2024-01-04,Low,5,Appreciate the fast response.,In Progress,0,,-81,0,No,Tree Falling,Dhankawadi
C1483,"High noise levels from activities near Lane 38 in Kharadi, disturbing peace.",Kharadi,Noise Pollution,2025-02-10,Tree Falling,Medium,Resolved,Pashan,Animal Nuisance,12,2024-06-01,Medium,5,"Great service, very happy.",Completed,9798,2024-10-10,9454,9798,Yes,Noise Pollution,Kharadi
C1484,"Damaged road with potholes near Lane 64 in Nigdi, dangerous for vehicles.",Nigdi,Road Damage,2025-03-10,Tree Falling,High,Pending,Nanded,Noise Pollution,8,2024-09-16,High,5,Appreciate the fast response.,In Progress,0,,49,0,No,Road Damage,Nigdi
C1485,"High noise levels from activities near Lane 35 in Deccan, disturbing peace.",Deccan,Noise Pollution,2025-02-19,Electricity Issue,Low,In Progress,Chinchwad,Illegal Construction,6,2024-01-12,Low,5,Appreciate the fast response.,Completed,6264,2024-07-11,6204,6264,No,Noise Pollution,Deccan
C1486,"Sewage overflow issue near Lane 52 in Kothrud, foul smell and waterlogging.",Kothrud,Sewage Problem,2025-03-19,Road Damage,Low,Pending,Pashan,Garbage Issue,4,2024-02-22,Low,5,Appreciate the fast response.,Completed,7375,2024-07-23,6971,7375,Yes,Sewage Problem,Kothrud
C1487,"High noise levels from activities near Lane 19 in Deccan, disturbing peace.",Deccan,Noise Pollution,2025-01-29,Electricity Issue,Medium,In Progress,Chinchwad,Tree Fall,19,2024-05-12,Medium,3,It was okay.,In Progress,0,,496,0,Yes,Noise Pollution,Deccan
C1488,"Unauthorized parking near Lane 40 in Pimpri, causing congestion.",Pimpri,Illegal Parking,2025-01-15,Streetlight Issue,Medium,In Progress,Camp,Tree Fall,9,2024-10-12,Medium,2,Issue still persists.,Completed,8736,2024-07-13,8646,8736,No,Illegal Parking,Pimpri
C1489,"Water leakage from pipeline near Lane 10 in Warje, needs urgent attention.",Warje,Water Issue,2025-02-25,Animal Nuisance,Medium,Resolved,Karvenagar,Sewage Overflow,18,2024-05-28,Medium,4,Very satisfied with the resolution.,Completed,6838,2024-09-11,7288,6838,Yes,Water Issue,Warje
C1490,"Frequent power cuts near Lane 27 in Erandwane, needs investigation.",Erandwane,Electricity Issue,2025-01-30,Garbage Issue,Low,Resolved,Swargate,Garbage Issue,5,2024-10-14,Low,2,Had to follow up multiple times.,Completed,7601,2024-08-10,7389,7601,No,Electricity Issue,Erandwane
C1491,"Streetlights not working near Lane 60 in Pashan, causing night-time hazards.",Pashan,Streetlight Issue,2025-01-13,Electricity Issue,Low,Resolved,Nigdi,Animal Nuisance,10,2024-01-15,Low,1,Not satisfied with the service.,Completed,7145,2024-03-30,6898,7145,No,Streetlight Issue,Pashan
C1492,"Frequent power cuts near Lane 38 in Hadapsar, needs investigation.",Hadapsar,Electricity Issue,2025-01-27,Road Damage,Low,Pending,Shivajinagar,Street Light,18,2024-05-18,Low,3,It was okay.,Completed,5508,2024-04-23,5203,5508,Yes,Electricity Issue,Hadapsar
C1493,"Frequent power cuts near Lane 9 in Wagholi, needs investigation.",Wagholi,Electricity Issue,2025-03-11,Tree Falling,High,Pending,Shivajinagar,Garbage Issue,4,2024-09-13,High,4,Very satisfied with the resolution.,Completed,9928,2025-03-23,10025,9928,No,Electricity Issue,Wagholi
C1494,"Frequent power cuts near Lane 53 in Aundh, needs investigation.",Aundh,Electricity Issue,2025-02-03,Road Damage,Medium,In Progress,Bavdhan,Water Leakage,3,2024-03-30,Medium,2,Issue still persists.,In Progress,0,,333,0,Yes,Electricity Issue,Aundh
C1495,"Sewage overflow issue near Lane 4 in Sinhagad Road, foul smell and waterlogging.",Sinhagad Road,Sewage Problem,2025-03-05,Road Damage,Low,Pending,Swargate,Street Light,4,2024-08-17,Low,1,Took too long to resolve.,Completed,1421,2024-10-07,1442,1421,No,Sewage Problem,Sinhagad Road
C1496,"Tree fallen near Lane 12 in Pimpri, blocking road and footpath.",Pimpri,Tree Falling,2025-03-24,Animal Nuisance,Low,Resolved,Pimpri,Road Damage,5,2024-08-22,Low,2,"Not bad, not great.",Completed,8023,2024-10-23,8039,8023,No,Tree Falling,Pimpri
C1497,"Uncollected garbage near Lane 7 in Bavdhan, causing health concerns.",Bavdhan,Garbage Issue,2025-03-14,Garbage Issue,Low,Resolved,Kothrud,Drainage Problem,5,2024-11-12,Low,4,Appreciate the fast response.,Completed,7573,2024-11-29,7707,7573,No,Garbage Issue,Bavdhan
C1498,"Streetlights not working near Lane 19 in Warje, causing night-time hazards.",Warje,Streetlight Issue,2025-03-29,Illegal Parking,High,Resolved,Sinhagad Road,Sewage Overflow,12,2024-07-09,High,2,Had to follow up multiple times.,Rejected,0,,341,0,Yes,Streetlight Issue,Warje
C1499,"Unauthorized parking near Lane 54 in Thergaon, causing congestion.",Thergaon,Illegal Parking,2025-02-23,Streetlight Issue,Low,In Progress,Bibwewadi,Garbage Issue,16,2024-11-24,Low,1,Not satisfied with the service.,Escalated,0,,364,0,Yes,Illegal Parking,Thergaon
C1500,"Water leakage from pipeline near Lane 50 in Erandwane, needs urgent attention.",Erandwane,Water Issue,2025-04-09,Sewage Problem,Low,Resolved,Bavdhan,Illegal Construction,11,2024-07-19,Low,5,"Great service, very happy.",Completed,9115,2024-02-02,8732,9115,Yes,Water Issue,Erandwane
C1501,"Unauthorized parking near Lane 61 in Parvati, causing congestion.",Parvati,Illegal Parking,2025-01-22,Illegal Parking,Low,In Progress,Swargate,Water Leakage,12,2024-11-07,Low,5,Appreciate the fast response.,Completed,1466,2024-02-21,1771,1466,Yes,Illegal Parking,Parvati
C1502,"Streetlights not working near Lane 58 in Kharadi, causing night-time hazards.",Kharadi,Streetlight Issue,2025-01-07,Streetlight Issue,Medium,Resolved,Bibwewadi,Noise Pollution,6,2024-07-15,Medium,5,"Great service, very happy.",Completed,7599,2024-08-07,8007,7599,Yes,Streetlight Issue,Kharadi
C1503,"Damaged road with potholes near Lane 59 in Baner, dangerous for vehicles.",Baner,Road Damage,2025-02-13,Illegal Parking,Medium,Pending,Erandwane,Animal Nuisance,5,2024-08-05,Medium,4,Appreciate the fast response.,Completed,2600,2024-01-28,2258,2600,Yes,Road Damage,Baner
C1504,"High noise levels from activities near Lane 69 in Kharadi, disturbing peace.",Kharadi,Noise Pollution,2025-01-15,Electricity Issue,High,In Progress,Camp,Illegal Construction,12,2024-08-22,High,4,Very satisfied with the resolution.,Completed,2356,2024-01-02,2670,2356,Yes,Noise Pollution,Kharadi
C1505,"Uncollected garbage near Lane 67 in Dhankawadi, causing health concerns.",Dhankawadi,Garbage Issue,2025-02-03,Electricity Issue,High,Pending,Wakad,Noise Pollution,16,2024-12-13,High,5,Appreciate the fast response.,Rejected,0,,-273,0,No,Garbage Issue,Dhankawadi
C1506,"Uncollected garbage near Lane 26 in NIBM Road, causing health concerns.",NIBM Road,Garbage Issue,2025-03-13,Noise Pollution,Low,In Progress,Camp,Garbage Issue,6,2024-03-17,Low,2,Very poor response.,In Progress,0,,376,0,Yes,Garbage Issue,NIBM Road
