area,department,month,total_spent,complaints_handled,avg_cost,performance
Shivajinagar,Sewerage and Drainage Department,April 2024,127110,57,2230,Bad
Shivajinagar,Sewerage and Drainage Department,May 2024,81022,34,2383,Good
Shivajinagar,Sewerage and Drainage Department,June 2024,169520,80,2119,Bad
Shivajinagar,Sewerage and Drainage Department,July 2024,28455,15,1897,Good
Shivajinagar,Sewerage and Drainage Department,August 2024,173208,84,2062,Bad
Shivajinagar,Sewerage and Drainage Department,September 2024,72666,99,734,Bad
Shivajinagar,Sewerage and Drainage Department,October 2024,75422,86,877,Bad
Shivajinagar,Sewerage and Drainage Department,November 2024,51750,69,750,Bad
Shivajinagar,Sewerage and Drainage Department,December 2024,67080,78,860,Bad
Wakad,Municipal Waste Management Department,January 2024,155758,94,1657,Bad
Wakad,Municipal Waste Management Department,February 2024,107295,69,1555,Bad
Wakad,Municipal Waste Management Department,March 2024,36687,21,1747,Good
Wakad,Municipal Waste Management Department,April 2024,157624,76,2074,Bad
Wakad,Municipal Waste Management Department,May 2024,44835,15,2989,Good
Wakad,Municipal Waste Management Department,June 2024,254936,88,2897,Bad
Wakad,Municipal Waste Management Department,July 2024,92484,84,1101,Bad
Wakad,Municipal Waste Management Department,August 2024,147498,61,2418,Bad
Wakad,Municipal Waste Management Department,September 2024,223548,78,2866,Bad
Wakad,Municipal Waste Management Department,October 2024,94860,34,2790,Good
Wakad,Municipal Waste Management Department,November 2024,31512,26,1212,Good
Wakad,Municipal Waste Management Department,December 2024,150246,51,2946,Bad
Wakad,Water Supply and Sanitation Department,January 2024,11655,9,1295,Good
Wakad,Water Supply and Sanitation Department,February 2024,147751,71,2081,Bad
Wakad,Water Supply and Sanitation Department,March 2024,32384,16,2024,Good
Wakad,Water Supply and Sanitation Department,April 2024,162470,77,2110,Bad
Wakad,Water Supply and Sanitation Department,May 2024,92160,90,1024,Bad
Wakad,Water Supply and Sanitation Department,June 2024,38376,39,984,Good
Wakad,Water Supply and Sanitation Department,July 2024,229798,89,2582,Bad
Wakad,Water Supply and Sanitation Department,August 2024,35508,44,807,Good
Wakad,Water Supply and Sanitation Department,September 2024,105264,36,2924,Good
Wakad,Water Supply and Sanitation Department,October 2024,92664,39,2376,Good
Wakad,Water Supply and Sanitation Department,November 2024,67871,67,1013,Bad
Wakad,Water Supply and Sanitation Department,December 2024,46620,84,555,Bad
Wakad,Electricity Distribution Department,January 2024,119763,63,1901,Bad
Wakad,Electricity Distribution Department,February 2024,256760,98,2620,Bad
Wakad,Electricity Distribution Department,March 2024,68302,37,1846,Good
Wakad,Electricity Distribution Department,April 2024,186544,89,2096,Bad
Wakad,Electricity Distribution Department,May 2024,66990,77,870,Bad
Wakad,Electricity Distribution Department,June 2024,16569,9,1841,Good
Wakad,Electricity Distribution Department,July 2024,142392,51,2792,Bad
Wakad,Electricity Distribution Department,August 2024,67056,48,1397,Good
Wakad,Electricity Distribution Department,September 2024,244038,89,2742,Bad
Wakad,Electricity Distribution Department,October 2024,48594,39,1246,Good
Wakad,Electricity Distribution Department,November 2024,12595,11,1145,Good
Wakad,Electricity Distribution Department,December 2024,11015,5,2203,Good
Wakad,Public Works Department,January 2024,35293,29,1217,Good
Wakad,Public Works Department,February 2024,11536,16,721,Good
Wakad,Public Works Department,March 2024,62050,34,1825,Good
Wakad,Public Works Department,April 2024,35825,25,1433,Good
Wakad,Public Works Department,May 2024,23432,29,808,Good
Wakad,Public Works Department,June 2024,79912,56,1427,Bad
Wakad,Public Works Department,July 2024,39975,15,2665,Good
Wakad,Public Works Department,August 2024,248630,94,2645,Bad
Wakad,Public Works Department,September 2024,14160,6,2360,Good
Wakad,Public Works Department,October 2024,73740,60,1229,Bad
Wakad,Public Works Department,November 2024,45074,31,1454,Good
Wakad,Public Works Department,December 2024,17433,13,1341,Good
Wakad,Environmental Protection Department,January 2024,39186,18,2177,Good
Wakad,Environmental Protection Department,February 2024,67660,85,796,Bad
Wakad,Environmental Protection Department,March 2024,249984,96,2604,Bad
Wakad,Environmental Protection Department,April 2024,167700,65,2580,Bad
Wakad,Environmental Protection Department,May 2024,63364,31,2044,Good
Wakad,Environmental Protection Department,June 2024,33764,23,1468,Good
Wakad,Environmental Protection Department,July 2024,37604,68,553,Bad
Wakad,Environmental Protection Department,August 2024,52523,53,991,Bad
Wakad,Environmental Protection Department,September 2024,109564,91,1204,Bad
Wakad,Environmental Protection Department,October 2024,56978,31,1838,Good
Wakad,Environmental Protection Department,November 2024,4200,6,700,Good
Wakad,Environmental Protection Department,December 2024,81141,37,2193,Good
Wakad,Traffic and Transportation Department,January 2024,11285,5,2257,Good
Wakad,Traffic and Transportation Department,February 2024,173810,65,2674,Bad
Wakad,Traffic and Transportation Department,March 2024,171920,80,2149,Bad
Wakad,Traffic and Transportation Department,April 2024,56232,24,2343,Good
Wakad,Traffic and Transportation Department,May 2024,6840,10,684,Good
Wakad,Traffic and Transportation Department,June 2024,96320,35,2752,Good
Wakad,Traffic and Transportation Department,July 2024,67551,23,2937,Good
Wakad,Traffic and Transportation Department,August 2024,49842,26,1917,Good
Wakad,Traffic and Transportation Department,September 2024,59514,42,1417,Good
Wakad,Traffic and Transportation Department,October 2024,28956,38,762,Good
Wakad,Traffic and Transportation Department,November 2024,56000,80,700,Bad
Wakad,Traffic and Transportation Department,December 2024,47040,24,1960,Good
Wakad,Environmental Protection Department,January 2024,218520,90,2428,Bad
Wakad,Environmental Protection Department,February 2024,71442,81,882,Bad
Wakad,Environmental Protection Department,March 2024,65898,63,1046,Bad
Wakad,Environmental Protection Department,April 2024,30360,44,690,Good
Wakad,Environmental Protection Department,May 2024,80344,83,968,Bad
Wakad,Environmental Protection Department,June 2024,93794,46,2039,Good
Wakad,Environmental Protection Department,July 2024,170208,96,1773,Bad
Wakad,Environmental Protection Department,August 2024,137465,95,1447,Bad
Wakad,Environmental Protection Department,September 2024,31275,45,695,Good
Wakad,Environmental Protection Department,October 2024,140650,97,1450,Bad
Wakad,Environmental Protection Department,November 2024,215569,73,2953,Bad
Wakad,Environmental Protection Department,December 2024,158795,91,1745,Bad
Wakad,Urban Forestry and Landscaping Department,January 2024,34600,20,1730,Good
Wakad,Urban Forestry and Landscaping Department,February 2024,49300,68,725,Bad
Wakad,Urban Forestry and Landscaping Department,March 2024,218932,98,2234,Bad
Wakad,Urban Forestry and Landscaping Department,April 2024,67844,28,2423,Good
Wakad,Urban Forestry and Landscaping Department,May 2024,58008,24,2417,Good
Wakad,Urban Forestry and Landscaping Department,June 2024,47410,55,862,Bad
Wakad,Urban Forestry and Landscaping Department,July 2024,68442,61,1122,Bad
Wakad,Urban Forestry and Landscaping Department,August 2024,105631,73,1447,Bad
Wakad,Urban Forestry and Landscaping Department,September 2024,8000,16,500,Good
Wakad,Urban Forestry and Landscaping Department,October 2024,29946,23,1302,Good
Wakad,Urban Forestry and Landscaping Department,November 2024,43344,28,1548,Good
Wakad,Urban Forestry and Landscaping Department,December 2024,186919,97,1927,Bad
Wakad,Animal Control and Welfare Department,January 2024,229356,92,2493,Bad
Wakad,Animal Control and Welfare Department,February 2024,55440,63,880,Bad
Wakad,Animal Control and Welfare Department,March 2024,58468,94,622,Bad
Wakad,Animal Control and Welfare Department,April 2024,261415,97,2695,Bad
Wakad,Animal Control and Welfare Department,May 2024,65844,93,708,Bad
Wakad,Animal Control and Welfare Department,June 2024,109584,48,2283,Good
Wakad,Animal Control and Welfare Department,July 2024,98400,96,1025,Bad
Wakad,Animal Control and Welfare Department,August 2024,131989,71,1859,Bad
Wakad,Animal Control and Welfare Department,September 2024,16842,14,1203,Good
Wakad,Animal Control and Welfare Department,October 2024,197955,83,2385,Bad
Wakad,Animal Control and Welfare Department,November 2024,36288,16,2268,Good
Wakad,Animal Control and Welfare Department,December 2024,10020,6,1670,Good
Wakad,Sewerage and Drainage Department,January 2024,86076,36,2391,Good
Wakad,Sewerage and Drainage Department,February 2024,59013,83,711,Bad
Wakad,Sewerage and Drainage Department,March 2024,153126,94,1629,Bad
Wakad,Sewerage and Drainage Department,April 2024,136100,100,1361,Bad
Wakad,Sewerage and Drainage Department,May 2024,76950,45,1710,Good
Wakad,Sewerage and Drainage Department,June 2024,123475,55,2245,Bad
Wakad,Sewerage and Drainage Department,July 2024,169885,61,2785,Bad
Wakad,Sewerage and Drainage Department,August 2024,49775,25,1991,Good
Wakad,Sewerage and Drainage Department,September 2024,19344,13,1488,Good
Wakad,Sewerage and Drainage Department,October 2024,12272,13,944,Good
Wakad,Sewerage and Drainage Department,November 2024,127503,93,1371,Bad
Wakad,Sewerage and Drainage Department,December 2024,54492,19,2868,Good
Camp,Municipal Waste Management Department,January 2024,216080,73,2960,Bad
Camp,Municipal Waste Management Department,February 2024,24714,9,2746,Good
Camp,Municipal Waste Management Department,March 2024,204344,82,2492,Bad
Camp,Municipal Waste Management Department,April 2024,48019,31,1549,Good
Camp,Municipal Waste Management Department,May 2024,61525,23,2675,Good
Camp,Municipal Waste Management Department,June 2024,110424,86,1284,Bad
Camp,Municipal Waste Management Department,July 2024,150766,89,1694,Bad
Camp,Municipal Waste Management Department,August 2024,76860,30,2562,Good
Camp,Municipal Waste Management Department,September 2024,47488,28,1696,Good
Camp,Municipal Waste Management Department,October 2024,63426,93,682,Bad
Camp,Municipal Waste Management Department,November 2024,74124,58,1278,Bad
Camp,Municipal Waste Management Department,December 2024,58032,24,2418,Good
Camp,Water Supply and Sanitation Department,January 2024,81026,58,1397,Bad
Camp,Water Supply and Sanitation Department,February 2024,42850,25,1714,Good
Camp,Water Supply and Sanitation Department,March 2024,164560,68,2420,Bad
Camp,Water Supply and Sanitation Department,April 2024,112788,78,1446,Bad
Camp,Water Supply and Sanitation Department,May 2024,105746,74,1429,Bad
Camp,Water Supply and Sanitation Department,June 2024,124572,84,1483,Bad
Camp,Water Supply and Sanitation Department,July 2024,74030,55,1346,Bad
Camp,Water Supply and Sanitation Department,August 2024,121164,92,1317,Bad
Camp,Water Supply and Sanitation Department,September 2024,28100,50,562,Bad
Camp,Water Supply and Sanitation Department,October 2024,27075,15,1805,Good
Camp,Water Supply and Sanitation Department,November 2024,122191,71,1721,Bad
Camp,Water Supply and Sanitation Department,December 2024,163296,56,2916,Bad
Camp,Electricity Distribution Department,January 2024,72210,29,2490,Good
Camp,Electricity Distribution Department,February 2024,52416,28,1872,Good
Camp,Electricity Distribution Department,March 2024,19456,8,2432,Good
Camp,Electricity Distribution Department,April 2024,126684,54,2346,Bad
Camp,Electricity Distribution Department,May 2024,84474,57,1482,Bad
Camp,Electricity Distribution Department,June 2024,38054,53,718,Bad
Camp,Electricity Distribution Department,July 2024,171864,77,2232,Bad
Camp,Electricity Distribution Department,August 2024,28656,12,2388,Good
Camp,Electricity Distribution Department,September 2024,86940,92,945,Bad
Camp,Electricity Distribution Department,October 2024,39088,28,1396,Good
Camp,Electricity Distribution Department,November 2024,144430,65,2222,Bad
Camp,Electricity Distribution Department,December 2024,41600,80,520,Bad
Camp,Public Works Department,January 2024,25410,33,770,Good
Camp,Public Works Department,February 2024,23300,10,2330,Good
Camp,Public Works Department,March 2024,28425,25,1137,Good
Camp,Public Works Department,April 2024,130892,86,1522,Bad
Camp,Public Works Department,May 2024,31044,52,597,Bad
Camp,Public Works Department,June 2024,59358,26,2283,Good
Camp,Public Works Department,July 2024,30008,22,1364,Good
Camp,Public Works Department,August 2024,74022,39,1898,Good
Camp,Public Works Department,September 2024,81426,41,1986,Good
Camp,Public Works Department,October 2024,24017,47,511,Good
Camp,Public Works Department,November 2024,211389,93,2273,Bad
Camp,Public Works Department,December 2024,179166,78,2297,Bad
Camp,Environmental Protection Department,January 2024,102355,55,1861,Bad
Camp,Environmental Protection Department,February 2024,26452,34,778,Good
Camp,Environmental Protection Department,March 2024,135432,76,1782,Bad
Camp,Environmental Protection Department,April 2024,167902,67,2506,Bad
Camp,Environmental Protection Department,May 2024,111124,52,2137,Bad
Camp,Environmental Protection Department,June 2024,16272,16,1017,Good
Camp,Environmental Protection Department,July 2024,191845,85,2257,Bad
Camp,Environmental Protection Department,August 2024,63450,27,2350,Good
Camp,Environmental Protection Department,September 2024,25080,20,1254,Good
Camp,Environmental Protection Department,October 2024,68552,44,1558,Good
Camp,Environmental Protection Department,November 2024,16820,20,841,Good
Camp,Environmental Protection Department,December 2024,169812,89,1908,Bad
Camp,Traffic and Transportation Department,January 2024,101743,71,1433,Bad
Camp,Traffic and Transportation Department,February 2024,157064,58,2708,Bad
Camp,Traffic and Transportation Department,March 2024,17920,7,2560,Good
Camp,Traffic and Transportation Department,April 2024,108989,73,1493,Bad
Camp,Traffic and Transportation Department,May 2024,109269,81,1349,Bad
Camp,Traffic and Transportation Department,June 2024,107760,48,2245,Good
Camp,Traffic and Transportation Department,July 2024,90639,81,1119,Bad
Camp,Traffic and Transportation Department,August 2024,49242,29,1698,Good
Camp,Traffic and Transportation Department,September 2024,165816,98,1692,Bad
Camp,Traffic and Transportation Department,October 2024,33648,12,2804,Good
Camp,Traffic and Transportation Department,November 2024,22537,31,727,Good
Camp,Traffic and Transportation Department,December 2024,48932,52,941,Bad
Camp,Environmental Protection Department,January 2024,11817,13,909,Good
Camp,Environmental Protection Department,February 2024,26304,32,822,Good
Camp,Environmental Protection Department,March 2024,65730,30,2191,Good
Camp,Environmental Protection Department,April 2024,79628,68,1171,Bad
Camp,Environmental Protection Department,May 2024,16160,32,505,Good
Camp,Environmental Protection Department,June 2024,127446,66,1931,Bad
Camp,Environmental Protection Department,July 2024,257735,95,2713,Bad
Camp,Environmental Protection Department,August 2024,21944,13,1688,Good
Camp,Environmental Protection Department,September 2024,122880,60,2048,Bad
Camp,Environmental Protection Department,October 2024,183347,83,2209,Bad
Camp,Environmental Protection Department,November 2024,149100,70,2130,Bad
Camp,Environmental Protection Department,December 2024,80729,41,1969,Good
Camp,Urban Forestry and Landscaping Department,January 2024,21630,30,721,Good
Camp,Urban Forestry and Landscaping Department,February 2024,106240,83,1280,Bad
Camp,Urban Forestry and Landscaping Department,March 2024,57960,60,966,Bad
Camp,Urban Forestry and Landscaping Department,April 2024,173618,94,1847,Bad
Camp,Urban Forestry and Landscaping Department,May 2024,30072,24,1253,Good
Camp,Urban Forestry and Landscaping Department,June 2024,20608,16,1288,Good
Camp,Urban Forestry and Landscaping Department,July 2024,248611,97,2563,Bad
Camp,Urban Forestry and Landscaping Department,August 2024,24824,29,856,Good
Camp,Urban Forestry and Landscaping Department,September 2024,55596,41,1356,Good
Camp,Urban Forestry and Landscaping Department,October 2024,26616,24,1109,Good
Camp,Urban Forestry and Landscaping Department,November 2024,79488,46,1728,Good
Camp,Urban Forestry and Landscaping Department,December 2024,47968,32,1499,Good
Camp,Animal Control and Welfare Department,January 2024,96900,75,1292,Bad
Camp,Animal Control and Welfare Department,February 2024,139104,96,1449,Bad
Camp,Animal Control and Welfare Department,March 2024,77952,84,928,Bad
Camp,Animal Control and Welfare Department,April 2024,96192,96,1002,Bad
Camp,Animal Control and Welfare Department,May 2024,53838,27,1994,Good
Camp,Animal Control and Welfare Department,June 2024,90190,58,1555,Bad
Camp,Animal Control and Welfare Department,July 2024,243432,92,2646,Bad
Camp,Animal Control and Welfare Department,August 2024,43806,49,894,Good
Camp,Animal Control and Welfare Department,September 2024,52550,25,2102,Good
Camp,Animal Control and Welfare Department,October 2024,8440,8,1055,Good
Camp,Animal Control and Welfare Department,November 2024,122284,76,1609,Bad
Camp,Animal Control and Welfare Department,December 2024,122625,45,2725,Good
Camp,Sewerage and Drainage Department,January 2024,26586,21,1266,Good
Camp,Sewerage and Drainage Department,February 2024,179205,65,2757,Bad
Camp,Sewerage and Drainage Department,March 2024,133500,100,1335,Bad
Camp,Sewerage and Drainage Department,April 2024,68922,63,1094,Bad
Camp,Sewerage and Drainage Department,May 2024,7075,5,1415,Good
Camp,Sewerage and Drainage Department,June 2024,67452,44,1533,Good
Camp,Sewerage and Drainage Department,July 2024,151632,81,1872,Bad
Camp,Sewerage and Drainage Department,August 2024,152019,63,2413,Bad
Camp,Sewerage and Drainage Department,September 2024,30058,38,791,Good
Camp,Sewerage and Drainage Department,October 2024,75919,79,961,Bad
Camp,Sewerage and Drainage Department,November 2024,46260,30,1542,Good
Camp,Sewerage and Drainage Department,December 2024,86590,70,1237,Bad
Swargate,Municipal Waste Management Department,January 2024,38398,73,526,Bad
Swargate,Municipal Waste Management Department,February 2024,48008,34,1412,Good
Swargate,Municipal Waste Management Department,March 2024,78516,54,1454,Bad
Swargate,Municipal Waste Management Department,April 2024,63812,28,2279,Good
Swargate,Municipal Waste Management Department,May 2024,144180,60,2403,Bad
Swargate,Municipal Waste Management Department,June 2024,37656,24,1569,Good
Swargate,Municipal Waste Management Department,July 2024,33500,20,1675,Good
Swargate,Municipal Waste Management Department,August 2024,70416,48,1467,Good
Swargate,Municipal Waste Management Department,September 2024,210300,100,2103,Bad
Swargate,Municipal Waste Management Department,October 2024,42032,16,2627,Good
Swargate,Municipal Waste Management Department,November 2024,103640,40,2591,Good
Swargate,Municipal Waste Management Department,December 2024,6040,10,604,Good
Swargate,Water Supply and Sanitation Department,January 2024,110694,38,2913,Good
Swargate,Water Supply and Sanitation Department,February 2024,44646,42,1063,Good
Swargate,Water Supply and Sanitation Department,March 2024,168448,64,2632,Bad
Swargate,Water Supply and Sanitation Department,April 2024,63432,72,881,Bad
Swargate,Water Supply and Sanitation Department,May 2024,190070,83,2290,Bad
Swargate,Water Supply and Sanitation Department,June 2024,54431,53,1027,Bad
Swargate,Water Supply and Sanitation Department,July 2024,39520,38,1040,Good
Swargate,Water Supply and Sanitation Department,August 2024,160815,71,2265,Bad
Swargate,Water Supply and Sanitation Department,September 2024,29146,19,1534,Good
Swargate,Water Supply and Sanitation Department,October 2024,29568,28,1056,Good
Swargate,Water Supply and Sanitation Department,November 2024,52294,22,2377,Good
Swargate,Water Supply and Sanitation Department,December 2024,15136,22,688,Good
Swargate,Electricity Distribution Department,January 2024,24864,16,1554,Good
Swargate,Electricity Distribution Department,February 2024,169320,68,2490,Bad
Swargate,Electricity Distribution Department,March 2024,97656,52,1878,Bad
Swargate,Electricity Distribution Department,April 2024,14944,16,934,Good
Swargate,Electricity Distribution Department,May 2024,13704,8,1713,Good
Swargate,Electricity Distribution Department,June 2024,21376,16,1336,Good
Swargate,Electricity Distribution Department,July 2024,118692,54,2198,Bad
Swargate,Electricity Distribution Department,August 2024,202288,94,2152,Bad
Swargate,Electricity Distribution Department,September 2024,52104,24,2171,Good
Swargate,Electricity Distribution Department,October 2024,114480,54,2120,Bad
Swargate,Electricity Distribution Department,November 2024,37917,33,1149,Good
Swargate,Electricity Distribution Department,December 2024,135711,51,2661,Bad
Swargate,Public Works Department,January 2024,43408,16,2713,Good
Swargate,Public Works Department,February 2024,125292,53,2364,Bad
Swargate,Public Works Department,March 2024,58466,31,1886,Good
Swargate,Public Works Department,April 2024,102672,92,1116,Bad
Swargate,Public Works Department,May 2024,14150,5,2830,Good
Swargate,Public Works Department,June 2024,174590,65,2686,Bad
Swargate,Public Works Department,July 2024,12516,7,1788,Good
Swargate,Public Works Department,August 2024,139944,51,2744,Bad
Swargate,Public Works Department,September 2024,182218,62,2939,Bad
Swargate,Public Works Department,October 2024,47136,48,982,Good
Swargate,Public Works Department,November 2024,50518,58,871,Bad
Swargate,Public Works Department,December 2024,31785,13,2445,Good
Swargate,Environmental Protection Department,January 2024,120200,100,1202,Bad
Swargate,Environmental Protection Department,February 2024,277226,97,2858,Bad
Swargate,Environmental Protection Department,March 2024,52383,19,2757,Good
Swargate,Environmental Protection Department,April 2024,92160,40,2304,Good
Swargate,Environmental Protection Department,May 2024,209610,85,2466,Bad
Swargate,Environmental Protection Department,June 2024,269660,97,2780,Bad
Swargate,Environmental Protection Department,July 2024,117432,56,2097,Bad
Swargate,Environmental Protection Department,August 2024,24648,24,1027,Good
Swargate,Environmental Protection Department,September 2024,103110,35,2946,Good
Swargate,Environmental Protection Department,October 2024,251163,99,2537,Bad
Swargate,Environmental Protection Department,November 2024,124542,99,1258,Bad
Swargate,Environmental Protection Department,December 2024,197680,80,2471,Bad
Swargate,Traffic and Transportation Department,January 2024,135216,54,2504,Bad
Swargate,Traffic and Transportation Department,February 2024,26868,12,2239,Good
Swargate,Traffic and Transportation Department,March 2024,96832,89,1088,Bad
Swargate,Traffic and Transportation Department,April 2024,72900,75,972,Bad
Swargate,Traffic and Transportation Department,May 2024,39000,65,600,Bad
Swargate,Traffic and Transportation Department,June 2024,150241,91,1651,Bad
Swargate,Traffic and Transportation Department,July 2024,20472,24,853,Good
Swargate,Traffic and Transportation Department,August 2024,53790,33,1630,Good
Swargate,Traffic and Transportation Department,September 2024,102512,43,2384,Good
Swargate,Traffic and Transportation Department,October 2024,48983,61,803,Bad
Swargate,Traffic and Transportation Department,November 2024,49049,91,539,Bad
Swargate,Traffic and Transportation Department,December 2024,4568,8,571,Good
Swargate,Environmental Protection Department,January 2024,29682,18,1649,Good
Swargate,Environmental Protection Department,February 2024,37796,44,859,Good
Swargate,Environmental Protection Department,March 2024,8886,6,1481,Good
Swargate,Environmental Protection Department,April 2024,167040,72,2320,Bad
Swargate,Environmental Protection Department,May 2024,121508,74,1642,Bad
Swargate,Environmental Protection Department,June 2024,109268,59,1852,Bad
Swargate,Environmental Protection Department,July 2024,146761,97,1513,Bad
Swargate,Environmental Protection Department,August 2024,35612,58,614,Bad
Swargate,Environmental Protection Department,September 2024,88374,33,2678,Good
Swargate,Environmental Protection Department,October 2024,63046,58,1087,Bad
Swargate,Environmental Protection Department,November 2024,170956,79,2164,Bad
Swargate,Environmental Protection Department,December 2024,282624,96,2944,Bad
Swargate,Urban Forestry and Landscaping Department,January 2024,129732,57,2276,Bad
Swargate,Urban Forestry and Landscaping Department,February 2024,66143,77,859,Bad
Swargate,Urban Forestry and Landscaping Department,March 2024,18853,17,1109,Good
Swargate,Urban Forestry and Landscaping Department,April 2024,36808,43,856,Good
Swargate,Urban Forestry and Landscaping Department,May 2024,260550,90,2895,Bad
Swargate,Urban Forestry and Landscaping Department,June 2024,52812,36,1467,Good
Swargate,Urban Forestry and Landscaping Department,July 2024,37136,44,844,Good
Swargate,Urban Forestry and Landscaping Department,August 2024,158424,56,2829,Bad
Swargate,Urban Forestry and Landscaping Department,September 2024,104652,76,1377,Bad
Swargate,Urban Forestry and Landscaping Department,October 2024,145521,69,2109,Bad
Swargate,Urban Forestry and Landscaping Department,November 2024,99456,48,2072,Good
Swargate,Urban Forestry and Landscaping Department,December 2024,27840,32,870,Good
Swargate,Animal Control and Welfare Department,January 2024,96690,33,2930,Good
Swargate,Animal Control and Welfare Department,February 2024,72996,79,924,Bad
Swargate,Animal Control and Welfare Department,March 2024,17590,10,1759,Good
Swargate,Animal Control and Welfare Department,April 2024,37695,15,2513,Good
Swargate,Animal Control and Welfare Department,May 2024,139950,90,1555,Bad
Swargate,Animal Control and Welfare Department,June 2024,28260,18,1570,Good
Swargate,Animal Control and Welfare Department,July 2024,177793,77,2309,Bad
Swargate,Animal Control and Welfare Department,August 2024,159194,83,1918,Bad
Swargate,Animal Control and Welfare Department,September 2024,22330,22,1015,Good
Swargate,Animal Control and Welfare Department,October 2024,105256,59,1784,Bad
Swargate,Animal Control and Welfare Department,November 2024,92322,69,1338,Bad
Swargate,Animal Control and Welfare Department,December 2024,65808,48,1371,Good
Swargate,Sewerage and Drainage Department,January 2024,22540,35,644,Good
Swargate,Sewerage and Drainage Department,February 2024,85342,71,1202,Bad
Swargate,Sewerage and Drainage Department,March 2024,184882,97,1906,Bad
Swargate,Sewerage and Drainage Department,April 2024,95400,45,2120,Good
Swargate,Sewerage and Drainage Department,May 2024,138462,47,2946,Good
Swargate,Sewerage and Drainage Department,June 2024,204820,70,2926,Bad
Swargate,Sewerage and Drainage Department,July 2024,18636,12,1553,Good
Swargate,Sewerage and Drainage Department,August 2024,120893,53,2281,Bad
Swargate,Sewerage and Drainage Department,September 2024,200410,98,2045,Bad
Swargate,Sewerage and Drainage Department,October 2024,62250,30,2075,Good
Swargate,Sewerage and Drainage Department,November 2024,76095,45,1691,Good
Swargate,Sewerage and Drainage Department,December 2024,44104,37,1192,Good
Karvenagar,Municipal Waste Management Department,January 2024,62907,39,1613,Good
Karvenagar,Municipal Waste Management Department,February 2024,59500,28,2125,Good
Karvenagar,Municipal Waste Management Department,March 2024,97458,37,2634,Good
Karvenagar,Municipal Waste Management Department,April 2024,100836,36,2801,Good
Karvenagar,Municipal Waste Management Department,May 2024,45738,66,693,Bad
Karvenagar,Municipal Waste Management Department,June 2024,19670,14,1405,Good
Karvenagar,Municipal Waste Management Department,July 2024,146461,49,2989,Good
Karvenagar,Municipal Waste Management Department,August 2024,100980,51,1980,Bad
Karvenagar,Municipal Waste Management Department,September 2024,73966,62,1193,Bad
Karvenagar,Municipal Waste Management Department,October 2024,216634,86,2519,Bad
Karvenagar,Municipal Waste Management Department,November 2024,78964,38,2078,Good
Karvenagar,Municipal Waste Management Department,December 2024,155272,52,2986,Bad
Karvenagar,Water Supply and Sanitation Department,January 2024,141492,52,2721,Bad
Karvenagar,Water Supply and Sanitation Department,February 2024,186550,65,2870,Bad
Karvenagar,Water Supply and Sanitation Department,March 2024,80344,88,913,Bad
Karvenagar,Water Supply and Sanitation Department,April 2024,56161,71,791,Bad
Karvenagar,Water Supply and Sanitation Department,May 2024,93150,54,1725,Bad
Karvenagar,Water Supply and Sanitation Department,June 2024,105222,39,2698,Good
Karvenagar,Water Supply and Sanitation Department,July 2024,90000,36,2500,Good
Karvenagar,Water Supply and Sanitation Department,August 2024,107180,46,2330,Good
Karvenagar,Water Supply and Sanitation Department,September 2024,132240,87,1520,Bad
Karvenagar,Water Supply and Sanitation Department,October 2024,51030,45,1134,Good
Karvenagar,Water Supply and Sanitation Department,November 2024,106970,95,1126,Bad
Karvenagar,Water Supply and Sanitation Department,December 2024,47340,45,1052,Good
Karvenagar,Electricity Distribution Department,January 2024,53025,75,707,Bad
Karvenagar,Electricity Distribution Department,February 2024,40595,23,1765,Good
Karvenagar,Electricity Distribution Department,March 2024,228804,92,2487,Bad
Karvenagar,Electricity Distribution Department,April 2024,24557,13,1889,Good
Karvenagar,Electricity Distribution Department,May 2024,72288,72,1004,Bad
Karvenagar,Electricity Distribution Department,June 2024,173824,64,2716,Bad
Karvenagar,Electricity Distribution Department,July 2024,203364,84,2421,Bad
Karvenagar,Electricity Distribution Department,August 2024,37406,59,634,Bad
Karvenagar,Electricity Distribution Department,September 2024,85492,67,1276,Bad
Karvenagar,Electricity Distribution Department,October 2024,24344,17,1432,Good
Karvenagar,Electricity Distribution Department,November 2024,94620,95,996,Bad
Karvenagar,Electricity Distribution Department,December 2024,62537,23,2719,Good
Karvenagar,Public Works Department,January 2024,180327,93,1939,Bad
Karvenagar,Public Works Department,February 2024,64962,27,2406,Good
Karvenagar,Public Works Department,March 2024,244530,95,2574,Bad
Karvenagar,Public Works Department,April 2024,153272,56,2737,Bad
Karvenagar,Public Works Department,May 2024,17034,6,2839,Good
Karvenagar,Public Works Department,June 2024,19375,31,625,Good
Karvenagar,Public Works Department,July 2024,181958,82,2219,Bad
Karvenagar,Public Works Department,August 2024,28836,12,2403,Good
Karvenagar,Public Works Department,September 2024,131834,58,2273,Bad
Karvenagar,Public Works Department,October 2024,144832,73,1984,Bad
Karvenagar,Public Works Department,November 2024,115617,51,2267,Bad
Karvenagar,Public Works Department,December 2024,92628,36,2573,Good
Karvenagar,Environmental Protection Department,January 2024,77850,45,1730,Good
Karvenagar,Environmental Protection Department,February 2024,21762,31,702,Good
Karvenagar,Environmental Protection Department,March 2024,47432,28,1694,Good
Karvenagar,Environmental Protection Department,April 2024,61026,21,2906,Good
Karvenagar,Environmental Protection Department,May 2024,68264,28,2438,Good
